1,0
2,2
3,1
4,3
5,0
6,2
7,1
8,3
9,0
10,3
11,1
12,2
13,0
13,3
14,1
14,2
15,0
15,3

17,0
19,2
21,0
22,2
23,1
25,0
27,2
29,0
30,2
31,3
33,0
35,2
37,0
38,2
39,1
41,0
43,2
45,0
46,2
47,3

49,0
51,3
52,2
53,0
55,2
56,3
57,0
59,1
60,2
61,0
63,3
64,1
65,0
67,3
68,2
69,0
71,2
72,3
73,1
74,3
75,0
76,2
77,0
77,3
78,1
78,2
79,0
79,3

81,0
82,2
83,0
84,3
85,0
86,3
87,2
89,0
90,2
91,0
92,3
93,1
94,3
95,2
97,0
98,2
99,0
100,3
101,1
102,3
103,2
105,0
106,3
107,0
108,2
109,0
110,2
111,3

113,2
114,0
115,3
116,1
117,3
118,0
119,2
120,1
121,3
122,2
123,3
124,1
125,0
126,3
127,2
128,1
129,0
130,1
131,3
132,2
133,0
134,3
135,1
136,2
137,0
138,3
139,0
140,2
141,0
141,3
142,1
142,2
143,0
143,3

145,0
145,3
147,1
148,2
149,0
149,3
151,2
152,1
153,0
153,3
155,1
156,2
157,0
157,3
159,2
161,1
161,2
163,0
164,3
165,1
165,2
167,3
168,0
169,1
169,2
171,0
172,3
173,1
173,2
175,3

177,0
177,3
178,1
179,2
180,0
181,1
181,2
182,3
183,0
184,2
185,0
185,1
186,3
187,1
188,0
189,2
189,3
190,1
191,0
192,3
193,0
193,3
194,1
195,2
196,0
197,1
197,2
198,3
199,0
200,2
201,0
201,1
202,3
203,2
203,3
204,1
205,0
205,3
206,1
206,2
207,0
207,3

209,0
213,3
217,2
221,1
225,2
229,0
233,1
237,2
239,3
241,0
243,3
245,1
247,2
249,3
251,0
253,2
255,3
257,0
259,1
261,3
263,2
265,3
267,0
269,1
271,2
272,3
273,0
273,3
275,3
276,1
277,0
277,3
279,0
280,2
281,0
281,3
283,2
284,1
285,0
285,3
287,2
288,3
289,1
289,2
291,1
292,3
293,1
293,2
295,2
296,3
297,0
297,1
299,2
299,3
301,3
301,0
302,1
302,2
303,3
303,0
304,1

305,0
305,3
307,3
308,2
309,0
309,3
311,0
312,1
313,0
313,3
315,2
316,1
317,0
317,3
319,2
320,3
321,1
321,2
323,3
324,1
325,1
325,2
327,1
328,3
329,1
329,2
331,2
332,3
333,1
333,2
335,0
336,2

337,0
337,3
338,1
339,3
340,2
341,0
341,3
342,2
343,0
344,3
345,1
345,2
346,3
347,1
348,0
349,1
349,2
350,0
351,3
352,2
353,0
353,3
354,1
355,3
356,0
357,1
357,2
358,3
359,2
360,0
361,2
361,3
262,0
362,1
363,2
363,3
364,0
364,1
365,0
365,3
366,1
366,2
367,0
367,3

373,1
375,3
376,2
377,3
379,0
380,2
382,0
383,3
384,1
385,2
387,1
388,0
389,3
391,1
392,0
393,2
395,3
396,0
397,3
399,1
400,0
401,3
403,2
404,1

405,3
409,1
413,0
